,Glycosylation,Cross-link,Modified residue,Signal,Disulfide bond
A4D126,0,0,0,0,0
A4D161,0,0,0,0,0
A4D1B5,0,0,0,0,0
A4D1E9,0,0,0,0,0
A4D1P6,0,0,3,0,0
A4D1T9,0,0,0,1,3
A4D256,0,0,0,0,0
A4D2B0,0,0,0,0,0
A4D2B8,0,0,0,0,0
A4GXA9,0,0,0,0,0
A4UGR9,0,0,11,0,0
A5A3E0,0,0,0,0,0
A5D8T8,1,0,0,1,4
A5D8V6,0,0,1,0,0
A5D8V7,0,0,0,0,0
A5D8W1,0,0,0,0,0
A5LHX3,0,0,0,0,0
A5PKW4,0,0,3,0,0
A5PLL7,0,0,0,0,0
A5X5Y0,1,0,0,1,1
A5YKK6,0,0,2,0,0
A5YM72,0,0,0,0,0
A6BM72,2,0,0,1,44
A6H8Y1,0,0,1,0,0
A6H8Z2,0,0,0,0,0
A6NC98,0,0,4,0,0
A6NCS4,0,0,0,0,0
A6ND01,1,0,0,1,8
A6ND36,0,0,10,0,0
A6NDB9,0,0,13,0,0
A6NDE4,0,0,0,0,0
A6NDG6,0,0,0,0,0
A6NDV4,2,0,0,0,3
A6NED2,0,0,1,0,0
A6NEM1,0,0,0,0,0
A6NFA1,2,0,0,1,0
A6NFQ2,0,0,0,0,0
A6NFX1,0,0,0,0,0
A6NFY7,0,0,0,0,0
A6NGG8,0,0,0,0,0
A6NGQ2,0,0,0,0,0
A6NGU5,7,0,0,0,0
A6NHL2,0,0,0,0,0
A6NHR9,0,2,5,0,0
A6NHX0,0,0,0,0,0
A6NI15,0,0,0,0,0
A6NI61,0,0,0,0,0
A6NI73,3,0,0,1,2
A6NIH7,0,0,2,0,0
A6NIX2,0,0,0,0,0
A6NJ46,0,0,0,0,0
A6NJ78,0,0,1,0,0
A6NK06,0,0,0,0,0
A6NK58,0,0,0,0,0
A6NK89,0,0,0,0,0
A6NKB5,11,0,0,0,0
A6NMY6,0,0,6,0,0
A6NMZ7,8,0,0,1,0
A6NNB3,0,0,0,0,0
A6NNM8,0,0,0,0,0
A6NNN8,0,0,0,0,0
A6NNY8,0,0,0,0,0
A6NNZ2,0,0,2,0,0
A6PVC2,0,0,0,0,0
A7E2V4,0,0,11,0,0
A7E2Y1,0,0,0,0,0
A7KAX9,0,0,13,0,0
A7MCY6,0,0,9,0,0
A7MD48,0,0,0,0,0
A7XYQ1,0,1,2,0,0
A8CG34,0,0,6,0,0
A8K0Z3,0,1,0,0,0
A8K2U0,5,1,0,1,10
A8K4G0,0,0,1,1,1
A8K7I4,8,0,0,1,0
A8K830,0,0,0,0,0
A8K8P3,0,0,0,0,0
A8K8V0,0,0,0,0,0
A8MPY1,1,0,0,1,1
A8MQ03,0,0,0,0,0
A8MQ27,0,0,1,0,0
A8MT69,0,0,1,0,0
A8MTA8,0,0,0,0,0
A8MTJ3,0,0,0,0,0
A8MTJ6,0,0,4,0,0
A8MTQ0,0,0,0,0,0
A8MTZ0,0,0,0,0,0
A8MU46,0,0,1,0,0
A8MUP2,0,0,0,0,0
A8MV65,0,2,0,0,0
A8MVW5,4,0,0,1,2
A8MW92,0,4,3,0,0
A8MW95,0,0,0,0,0
A8MW99,0,0,0,0,0
A8MXD5,0,0,0,0,0
A8MXV4,0,0,0,0,0
A8MYU2,0,0,0,0,0
A8MZ59,0,0,0,0,0
A8TX70,4,0,0,1,0
A9QM74,0,0,0,0,0
A9UHW6,0,0,0,0,0
A9YTQ3,0,2,0,0,0
B0I1T2,0,0,1,0,0
B0L3A2,0,0,0,0,0
B0YJ81,1,0,1,0,0
B1AK53,0,0,6,0,0
B2RTY4,0,0,9,0,0
B2RUY7,0,0,0,1,0
B2RUZ4,0,0,5,0,0
B2RXF5,0,0,0,0,0
B2RXH2,0,0,0,0,0
B3KU38,0,0,1,0,0
B6A8C7,1,0,0,1,2
B7U540,0,0,0,0,0
B7ZAQ6,2,0,0,0,0
C4AMC7,0,1,0,0,0
C9JE40,0,0,0,0,0
C9JLW8,0,0,5,0,0
C9JR72,0,0,0,0,0
C9JRZ8,0,0,2,0,0
D3W0D1,2,0,0,0,3
D6RGH6,0,0,0,0,0
E0CX11,0,0,0,0,0
F5H094,5,0,0,0,3
G2XKQ0,0,2,0,0,0
H0YL14,0,0,0,0,0
H3BV60,0,0,0,1,1
K7EJ46,0,0,0,0,0
K9M1U5,0,0,0,1,0
L0R8F8,0,0,0,0,0
M0R2J8,0,0,0,0,0
O00115,4,0,0,1,3
O00116,0,0,4,0,0
O00124,0,0,1,0,0
O00139,0,0,9,0,0
O00141,0,0,7,0,2
O00142,0,0,0,0,0
O00144,2,0,0,1,5
O00148,0,6,5,0,0
O00151,0,0,6,0,0
O00154,0,0,3,0,0
O00155,0,0,0,0,0
O00159,0,0,7,0,0
O00160,0,0,1,0,0
O00161,0,0,8,0,0
O00165,0,0,3,0,0
O00167,0,0,0,0,0
O00168,0,0,6,1,0
O00170,0,0,1,0,0
O00175,1,0,0,1,2
O00180,1,1,1,0,1
O00182,0,0,0,0,0
O00186,0,0,0,0,0
O00187,0,0,1,1,13
O00189,0,0,0,0,0
O00192,0,0,14,0,0
O00194,0,0,2,0,1
O00198,0,0,0,0,0
O00203,0,0,4,0,0
O00204,0,0,1,0,0
O00206,10,0,0,1,5
O00212,0,0,1,0,0
O00213,0,0,6,0,0
O00214,0,0,0,0,0
O00217,0,0,0,0,0
O00219,1,0,0,0,0
O00220,1,0,4,1,7
O00221,0,0,3,0,0
O00222,5,1,0,1,8
O00231,0,1,3,0,0
O00232,0,2,3,0,0
O00233,0,0,1,0,0
O00237,0,0,0,0,0
O00238,0,0,0,1,5
O00241,3,0,0,1,3
O00244,0,0,2,0,0
O00253,0,0,0,1,5
O00254,3,0,0,1,1
O00255,0,0,3,0,0
O00257,0,21,4,0,0
O00258,0,0,0,0,0
O00264,0,0,4,0,0
O00267,0,2,19,0,0
O00268,0,0,11,0,0
O00270,1,0,0,0,0
O00273,0,0,3,0,0
O00287,0,1,0,0,0
O00291,0,0,1,0,0
O00292,1,0,0,1,4
O00294,0,0,0,0,0
O00299,0,0,9,0,1
O00300,5,0,0,1,9
O00303,0,0,4,0,0
O00305,0,0,6,0,0
O00308,0,0,1,0,0
O00311,0,1,2,0,0
O00322,1,0,0,0,0
O00327,0,2,5,0,0
O00329,0,0,2,0,0
O00330,0,0,4,0,0
O00337,2,0,0,0,0
O00338,0,0,2,0,0
O00339,1,0,0,1,30
O00341,1,0,0,0,0
O00358,0,0,0,0,0
O00370,0,0,0,0,0
O00391,3,0,1,1,5
O00399,0,0,1,0,0
O00400,1,0,2,0,0
O00401,0,0,6,0,0
O00408,0,0,0,0,0
O00409,0,0,4,0,0
O00410,0,0,2,0,0
O00411,0,0,0,0,0
O00418,0,0,24,0,0
O00421,1,0,0,0,1
O00422,0,1,1,0,0
O00423,0,0,1,0,0
O00425,0,2,2,0,0
O00429,2,8,8,0,0
O00442,0,0,0,0,0
O00443,0,0,9,0,0
O00444,0,0,5,0,0
O00445,0,0,0,0,0
O00451,3,0,0,1,0
O00453,0,0,1,0,0
O00459,0,0,3,0,0
O00461,1,0,5,0,0
O00462,8,0,0,1,4
O00463,0,1,0,0,0
O00468,5,0,2,1,50
O00469,7,0,3,1,0
O00470,0,0,0,0,0
O00471,0,0,5,0,0
O00472,0,0,2,0,0
O00476,4,0,0,0,0
O00478,1,0,0,1,2
O00481,1,0,0,1,2
O00482,0,1,0,0,0
O00483,0,0,2,0,0
O00487,0,0,3,0,0
O00488,0,0,0,0,0
O00499,0,0,7,0,0
O00501,0,0,0,0,0
O00505,0,0,4,0,0
O00506,0,0,2,0,0
O00507,0,0,5,0,0
O00512,0,0,12,0,0
O00519,0,0,1,0,0
O00522,0,0,0,0,0
O00526,3,0,0,1,0
O00533,10,0,3,1,6
O00541,0,2,1,0,0
O00548,1,1,2,1,27
O00555,1,0,15,0,0
O00559,0,0,3,0,0
O00560,0,0,3,0,0
O00562,0,0,19,0,0
O00566,0,6,10,0,0
O00567,0,5,15,0,0
O00571,0,1,30,0,0
O00574,1,0,0,0,1
O00584,3,0,0,1,4
O00585,0,0,0,1,3
O00587,2,0,0,0,3
O00590,1,0,0,0,1
O00591,5,0,0,1,1
O00592,5,0,4,1,0
O00602,1,0,0,1,3
O00622,0,0,1,1,11
O00623,0,0,0,0,0
O00624,4,0,0,0,0
O00625,0,0,0,0,0
O00626,0,0,0,1,2
O00628,0,0,0,0,0
O00629,0,0,2,0,0
O00631,0,0,0,0,0
O00635,0,0,1,0,0
O00712,0,0,9,0,0
O00716,0,0,0,0,0
O00743,0,0,1,0,0
O00744,2,0,1,1,11
O00746,0,0,0,0,0
O00748,2,0,1,1,2
O00750,0,0,0,0,0
O00754,11,0,0,1,4
O00755,3,0,0,1,11
O00757,0,0,2,0,0
O00762,0,0,2,0,0
O00763,0,0,19,0,0
O00764,0,0,5,0,0
O00767,0,0,2,0,0
O14490,0,0,21,0,0
O14492,0,0,4,0,0
O14493,0,0,1,0,1
O14494,1,0,0,0,0
O14495,1,0,1,0,0
O14497,0,0,27,0,0
O14503,0,6,2,0,0
O14508,0,1,2,0,0
O14511,5,0,0,0,4
O14512,0,0,0,0,0
O14514,7,0,2,1,19
O14519,0,0,1,0,1
O14520,0,0,1,0,0
O14521,0,0,0,0,0
O14522,10,0,1,1,1
O14523,0,0,18,0,0
O14524,1,0,3,1,0
O14525,6,0,2,1,17
O14526,0,0,5,0,0
O14529,0,0,1,0,0
O14530,0,0,3,0,0
O14531,0,0,2,0,0
O14543,0,0,0,0,0
O14544,0,0,0,0,0
O14556,0,0,0,0,0
O14558,0,0,2,0,0
O14559,0,0,6,0,0
O14561,0,0,2,0,0
O14569,0,0,0,0,0
O14576,0,0,11,0,0
O14578,0,0,10,0,0
O14579,0,0,3,0,0
O14593,0,0,0,0,0
O14594,6,0,0,1,16
O14595,0,0,1,0,0
O14607,0,0,1,0,0
O14610,0,0,1,0,0
O14613,0,0,4,0,0
O14617,0,0,15,0,0
O14618,0,4,1,0,1
O14625,0,0,1,1,2
O14627,0,0,0,0,0
O14628,0,2,1,0,0
O14633,0,0,0,0,0
O14638,10,0,0,0,16
O14639,0,1,19,0,0
O14640,0,0,1,0,0
O14641,0,0,1,0,0
O14645,0,0,0,0,0
O14646,0,0,27,0,0
O14647,0,0,9,0,0
O14649,1,0,0,0,0
O14653,0,0,1,0,0
O14654,0,0,1,0,0
O14656,2,0,0,1,0
O14657,2,0,0,1,0
O14662,0,0,1,0,0
O14669,0,0,1,1,1
O14672,4,0,1,1,17
O14678,0,0,0,0,0
O14681,0,0,7,0,0
O14682,0,0,0,0,0
O14684,0,0,0,0,0
O14686,0,2,38,0,0
O14713,0,0,2,0,0
O14717,0,0,0,0,0
O14727,0,0,0,0,0
O14730,0,0,6,0,0
O14732,0,0,0,0,0
O14733,0,0,4,0,0
O14734,0,0,0,0,0
O14735,0,0,0,0,0
O14737,0,0,4,0,0
O14744,0,0,1,0,0
O14745,0,0,12,0,0
O14746,0,0,3,0,0
O14756,3,0,0,1,0
O14757,0,2,9,0,0
O14763,0,0,0,1,7
O14764,2,0,1,1,1
O14770,0,0,0,0,0
O14771,0,0,0,0,0
O14772,0,0,0,0,0
O14773,5,0,0,1,3
O14775,0,0,0,0,0
O14776,0,3,9,0,0
O14777,0,0,9,0,0
O14782,0,0,0,0,0
O14786,8,0,1,1,6
O14787,0,0,1,0,0
O14788,2,0,0,0,0
O14791,1,0,2,1,0
O14792,4,0,0,1,1
O14793,1,0,0,1,5
O14795,0,0,4,0,0
O14796,0,0,1,0,0
O14798,3,0,0,1,7
O14802,0,0,1,0,0
O14804,1,0,0,0,1
O14807,0,0,1,0,0
O14810,0,0,0,0,0
O14813,0,0,0,0,0
O14815,0,0,0,0,0
O14817,2,0,0,0,0
O14818,1,0,2,0,0
O14827,0,0,7,0,0
O14828,0,1,8,0,0
O14829,0,0,0,0,0
O14830,0,0,0,0,0
O14832,0,0,5,0,0
O14836,1,0,0,0,6
O14841,0,0,2,0,0
O14842,1,0,0,0,1
O14843,1,0,0,0,1
O14862,0,0,0,0,0
O14863,0,0,0,0,0
O14867,0,0,3,0,0
O14874,0,0,6,0,0
O14879,0,0,3,0,0
O14880,0,0,0,0,0
O14893,0,0,2,0,0
O14894,2,0,0,0,0
O14896,0,0,0,0,0
O14901,0,0,1,0,0
O14904,1,0,0,1,11
O14905,1,0,0,1,11
O14907,0,0,2,0,0
O14908,0,0,6,0,0
O14910,0,0,0,0,0
O14917,7,0,0,1,0
O14920,0,1,18,0,0
O14924,0,1,9,0,0
O14925,0,0,0,0,0
O14926,0,0,0,0,0
O14929,0,0,5,0,0
O14931,2,0,0,1,1
O14933,0,0,0,0,0
O14936,0,0,8,0,0
O14939,0,0,0,0,0
O14944,1,0,0,1,3
O14948,0,0,0,0,0
O14949,0,0,3,0,0
O14950,0,0,2,0,0
O14958,1,0,3,1,0
O14960,0,0,0,1,3
O14964,0,0,6,0,0
O14965,0,1,5,0,0
O14966,0,0,2,0,0
O14967,0,0,8,1,2
O14972,0,0,0,0,0
O14974,0,0,27,0,0
O14975,0,0,2,0,0
O14976,0,0,17,0,0
O14977,0,0,0,0,0
O14978,0,7,2,0,0
O14979,0,1,6,0,0
O14980,0,0,7,0,0
O14981,0,0,2,0,0
O14983,0,0,3,0,1
O14986,0,0,3,0,0
O14994,0,0,8,0,0
O15013,0,0,4,0,0
O15014,0,5,22,0,0
O15015,0,7,1,0,0
O15018,0,0,4,0,0
O15020,0,0,9,0,0
O15021,0,0,17,0,0
O15027,0,0,35,0,0
O15031,13,0,3,1,10
O15033,0,0,0,0,0
O15040,0,0,0,0,0
O15041,5,0,0,1,6
O15042,0,10,13,0,0
O15047,0,0,6,0,0
O15049,0,0,1,0,0
O15054,0,1,1,0,0
O15055,0,0,13,0,0
O15056,0,0,2,0,0
O15060,0,2,0,0,0
O15061,0,0,13,0,0
O15062,0,10,2,0,0
O15066,0,0,2,0,0
O15067,0,0,4,0,0
O15068,0,0,7,0,0
O15072,7,0,0,1,13
O15075,0,0,19,0,0
O15078,0,0,0,0,0
O15079,0,0,4,0,0
O15083,0,0,2,0,0
O15084,0,0,2,0,0
O15085,0,0,22,0,0
O15091,0,0,1,0,0
O15105,0,2,3,0,0
O15111,0,0,4,0,0
O15116,0,0,2,0,0
O15117,0,0,10,0,0
O15118,19,0,0,1,15
O15119,0,0,8,0,0
O15120,0,0,0,1,0
O15121,0,0,1,0,0
O15123,6,0,0,1,3
O15126,0,0,3,0,0
O15127,0,0,2,0,0
O15130,0,0,2,1,0
O15131,0,0,0,0,0
O15143,0,0,0,0,0
O15144,0,0,2,0,0
O15145,0,1,3,0,0
O15146,2,0,4,1,9
O15151,0,0,2,0,0
O15155,0,0,1,0,0
O15156,0,3,5,0,0
O15160,0,0,2,0,0
O15162,0,0,3,0,0
O15164,0,18,15,0,0
O15165,0,0,0,0,2
O15169,0,2,9,0,0
O15173,1,0,5,0,0
O15178,0,0,0,0,0
O15182,0,0,1,0,0
O15194,0,0,0,0,0
O15195,0,0,0,0,0
O15197,1,0,0,1,0
O15198,0,0,0,0,0
O15204,4,0,0,1,2
O15205,0,0,0,0,0
O15209,0,0,1,0,0
O15211,0,0,2,0,0
O15212,0,2,3,0,0
O15213,0,0,1,0,0
O15217,0,0,1,0,0
O15226,0,4,1,0,0
O15228,0,0,3,0,0
O15229,1,0,0,0,0
O15230,23,0,0,1,88
O15231,0,0,6,0,0
O15232,0,0,3,1,12
O15234,0,0,8,0,0
O15239,0,0,0,0,0
O15240,0,0,4,1,0
O15243,0,0,0,0,0
O15244,1,0,0,0,0
O15245,1,0,2,0,0
O15247,0,0,0,0,1
O15254,0,0,2,0,0
O15258,0,0,5,0,0
O15259,0,0,6,0,0
O15260,0,0,0,0,0
O15263,0,0,0,1,3
O15264,0,0,4,0,0
O15265,0,2,0,0,0
O15266,0,0,0,0,0
O15269,0,0,1,0,0
O15270,0,0,1,0,0
O15273,0,0,1,0,0
O15287,0,0,1,0,0
O15294,9,0,6,0,0
O15296,0,0,0,0,0
O15297,0,0,2,0,0
O15303,4,0,0,1,8
O15304,0,0,2,0,0
O15305,0,0,2,0,0
O15315,0,0,0,0,0
O15318,0,0,2,0,0
O15327,0,0,0,0,0
O15342,1,0,0,0,0
O15344,0,0,3,0,0
O15347,0,0,9,0,1
O15350,0,2,3,0,0
O15353,0,0,0,0,0
O15354,3,0,0,1,1
O15355,0,0,5,0,0
O15357,0,0,12,0,0
O15360,0,0,1,0,0
O15371,0,0,4,0,0
O15372,0,1,2,0,0
O15374,0,0,0,0,0
O15379,0,0,1,0,0
O15381,0,1,7,0,0
O15382,0,0,2,0,0
O15389,8,0,0,1,4
O15391,0,0,0,0,0
O15392,0,0,11,0,0
O15393,2,0,0,0,9
O15394,8,0,3,1,5
O15397,0,0,2,0,0
O15399,7,0,2,1,4
O15400,0,0,9,0,0
O15405,0,0,0,0,0
O15409,0,0,0,0,0
O15427,0,0,3,0,0
O15431,2,0,2,0,1
O15432,0,0,1,0,0
O15438,3,0,2,0,0
O15439,2,0,4,0,0
O15440,8,0,6,0,0
O15444,0,0,0,1,2
O15446,0,4,11,0,0
O15455,15,3,2,1,4
O15457,0,0,0,0,0
O15460,2,0,1,1,0
O15466,4,0,0,0,2
O15467,0,0,0,1,2
O15479,0,0,2,0,0
O15481,0,0,0,0,0
O15484,0,0,0,0,0
O15488,1,0,3,0,0
O15492,0,0,2,0,0
O15496,1,0,0,1,8
O15498,0,0,2,0,0
O15499,0,0,0,0,0
O15503,0,2,1,0,0
O15504,0,0,1,0,0
O15511,0,0,1,0,0
O15514,0,0,0,0,0
O15516,0,2,7,0,0
O15519,0,0,0,0,0
O15520,2,0,0,1,0
O15522,0,0,0,0,0
O15523,0,1,16,0,0
O15524,0,0,0,0,0
O15525,0,2,5,0,0
O15527,0,0,0,0,0
O15528,0,0,0,0,0
O15529,1,0,0,0,0
O15530,0,0,15,0,0
O15533,1,0,0,1,3
O15534,0,0,9,0,0
O15535,0,3,0,0,0
O15537,0,0,0,1,5
O15540,0,0,1,0,0
O15541,0,0,5,0,0
O15547,3,0,1,0,5
O15550,0,0,5,0,0
O15551,0,0,3,0,0
O15552,2,0,0,0,0
O15553,0,0,1,0,0
O15554,0,0,1,0,0
O42043,0,0,0,0,0
O43143,0,1,2,0,0
O43147,0,0,1,0,0
O43148,0,0,4,0,0
O43149,0,0,12,0,0
O43150,0,0,3,0,0
O43151,0,6,0,0,0
O43155,4,0,0,1,4
O43156,0,0,2,0,0
O43157,6,0,0,1,10
O43159,0,0,6,0,0
O43164,0,0,9,0,0
O43166,0,0,42,0,0
O43167,0,0,0,0,0
O43169,0,0,5,0,0
O43172,0,0,1,0,0
O43173,4,0,0,0,2
O43174,0,0,0,0,0
O43175,0,2,5,0,0
O43181,0,0,1,0,0
O43182,0,0,15,0,0
O43184,5,0,1,1,7
O43186,0,0,0,0,0
O43187,0,0,1,0,0
O43189,0,0,2,0,0
O43193,2,0,0,0,1
O43194,3,0,1,0,2
O43196,0,0,0,0,0
O43236,0,0,5,0,0
O43237,0,0,7,0,0
O43240,1,0,0,1,6
O43242,0,2,2,0,0
O43248,0,3,0,0,0
O43251,0,0,13,0,0
O43252,0,0,2,0,0
O43255,0,0,6,0,0
O43257,0,0,1,0,0
O43264,0,0,4,0,0
O43272,0,0,2,0,0
O43278,3,0,0,1,9
O43280,4,0,0,1,0
O43281,0,0,1,0,0
O43283,0,0,0,0,0
O43286,7,0,0,0,2
O43290,0,23,17,0,0
O43291,2,0,0,1,6
O43292,2,0,0,0,0
O43293,0,0,11,0,0
O43294,0,0,16,0,0
O43295,0,0,6,0,0
O43296,0,1,3,0,0
O43298,0,6,2,0,0
O43299,0,0,0,0,0
O43300,4,0,0,1,0
O43303,0,0,6,0,0
O43306,1,0,5,0,0
O43307,0,0,1,0,0
O43309,0,3,0,0,0
O43310,0,0,4,0,0
O43312,0,0,9,0,0
O43313,0,0,0,0,0
O43314,0,0,11,0,0
O43315,0,0,0,0,0
O43316,0,0,0,0,0
O43318,0,3,14,0,0
O43320,1,0,1,0,0
O43323,0,0,0,1,0
O43324,0,0,2,0,0
O43353,0,4,24,0,0
O43364,0,0,0,0,0
O43365,0,0,0,0,0
O43374,0,0,0,0,0
O43379,0,0,18,0,0
O43390,0,3,2,0,0
O43395,0,3,3,0,0
O43396,0,0,1,0,1
O43399,0,0,13,0,0
O43402,0,0,0,0,0
O43405,2,0,0,1,2
O43422,0,0,1,0,0
O43424,4,0,4,1,3
O43426,0,0,13,0,0
O43427,0,0,1,0,0
O43432,0,0,9,0,0
O43435,0,0,0,0,0
O43439,0,2,4,0,0
O43447,0,0,1,0,0
O43448,0,0,0,0,0
O43451,20,0,3,0,8
O43462,1,0,0,0,0
O43463,0,0,2,0,0
O43464,0,0,0,0,0
O43474,0,1,2,0,0
O43482,0,0,4,0,0
O43488,0,0,4,0,0
O43490,8,0,4,1,0
O43491,0,2,23,0,0
O43493,9,0,5,1,0
O43497,8,0,5,0,0
O43502,0,0,1,0,0
O43504,0,0,1,0,0
O43505,2,0,0,0,0
O43506,6,0,0,1,7
O43508,1,0,0,0,1
O43511,0,0,0,0,0
O43513,0,2,1,0,0
O43516,0,0,8,0,0
O43520,0,0,1,0,0
O43521,0,0,4,0,0
O43524,0,0,28,0,0
O43525,0,0,2,0,0
O43526,0,0,11,0,0
O43529,3,0,0,0,0
O43541,0,1,5,0,0
O43542,0,0,1,0,0
O43543,0,0,1,0,0
O43548,0,0,1,0,0
O43556,1,0,0,0,0
O43557,1,0,0,0,1
O43559,0,0,0,0,0
O43561,0,0,17,0,0
O43566,0,0,7,0,0
O43567,1,0,0,1,0
O43570,3,0,0,1,1
O43572,0,0,3,0,0
O43581,0,0,5,0,0
O43583,0,0,5,0,0
O43586,0,0,2,0,0
O43592,0,0,2,0,0
O43593,0,0,0,0,0
O43597,0,0,0,0,0
O43598,0,0,7,0,0
O43602,0,0,25,0,0
O43603,2,0,0,0,1
O43609,0,0,1,0,0
O43610,0,0,0,0,0
O43612,0,0,3,1,2
O43613,1,0,0,0,1
O43614,3,0,0,0,1
O43615,0,0,3,0,0
O43617,0,0,0,0,0
O43623,0,0,0,0,0
O43633,0,0,6,0,0
O43639,0,0,5,0,0
O43653,1,0,0,1,5
O43660,0,0,4,0,0
O43663,0,0,8,0,0
O43665,0,0,3,0,0
O43670,0,0,0,0,0
O43674,0,0,0,0,0
O43676,0,0,8,0,0
O43678,0,0,3,0,1
O43679,0,0,0,0,0
O43680,0,0,0,0,0
O43681,0,0,1,0,0
O43683,0,0,13,0,0
O43684,0,1,2,0,0
O43687,0,0,0,0,0
O43688,1,0,0,0,0
O43699,4,0,0,1,4
O43704,0,0,0,0,0
O43707,0,0,10,0,0
O43708,0,0,5,0,0
O43709,0,0,1,0,0
O43711,0,0,0,0,0
O43715,0,0,1,0,2
O43716,0,0,0,0,0
O43719,0,2,31,0,0
O43731,0,0,0,0,0
O43734,0,0,0,0,0
O43739,0,0,0,0,0
O43741,0,0,10,0,0
O43745,0,0,1,0,0
O43747,0,0,0,0,0
O43749,1,0,0,0,1
O43752,0,0,4,0,0
O43759,0,0,1,0,0
O43760,0,0,2,0,0
O43761,0,0,1,0,0
O43763,0,0,0,0,0
O43765,0,0,7,0,0
O43766,0,0,0,0,0
O43768,0,0,6,0,0
O43772,0,0,5,0,0
O43776,0,0,4,0,0
O43781,0,0,2,0,0
O43790,0,1,0,0,0
O43791,0,0,0,0,0
O43795,0,2,1,0,0
O43805,0,0,1,0,0
O43808,0,0,0,0,0
O43809,0,0,6,0,0
O43813,0,0,2,0,0
O43815,0,0,6,0,0
O43818,0,1,7,0,0
O43819,0,0,0,0,1
O43820,2,0,0,1,5
O43822,0,0,4,0,0
O43823,0,2,11,0,0
O43825,5,0,0,0,0
O43826,0,0,0,0,0
O43827,3,0,0,1,2
O43829,0,3,0,0,0
O43837,0,0,1,0,0
O43847,0,0,3,1,0
O43852,1,0,8,1,0
O43854,3,0,0,1,12
O43861,0,0,0,0,0
O43865,0,0,10,0,0
O43866,0,0,0,1,12
O43868,0,0,1,0,0
O43889,2,0,0,0,0
O43895,5,0,0,1,0
O43896,0,0,9,0,0
O43897,4,0,0,1,19
O43900,0,0,2,0,0
O43903,0,0,2,0,0
O43909,3,0,1,0,6
O43913,0,0,0,0,0
O43914,0,0,2,1,1
O43915,3,0,0,1,5
O43916,4,0,0,0,0
O43918,0,0,0,0,0
O43920,0,0,0,0,2
O43921,3,0,0,1,2
O43924,0,0,0,0,0
O43927,0,0,0,1,2
O43929,0,0,1,0,0
O43933,0,0,4,0,0
O60216,0,3,8,0,0
O60218,0,0,2,0,0
O60220,0,0,4,0,2
O60229,0,0,7,0,1
O60231,0,0,5,0,0
O60232,0,0,2,0,0
O60235,1,0,0,0,4
O60237,0,0,6,0,0
O60238,0,0,5,0,0
O60239,0,0,5,0,0
O60240,0,0,15,0,0
O60241,9,0,1,1,16
O60242,13,0,3,1,17
O60243,2,0,0,0,0
O60244,0,0,7,0,0
O60248,0,0,1,0,0
O60256,0,0,5,0,0
O60258,1,0,0,1,0
O60259,1,0,0,1,6
O60260,0,2,3,0,0
O60264,0,7,9,0,0
O60266,1,1,3,0,0
O60269,0,0,0,0,0
O60271,0,0,30,0,0
O60281,0,0,4,0,0
O60282,0,0,0,0,0
O60284,0,0,0,0,0
O60285,0,0,5,0,0
O60291,0,0,3,0,0
O60292,0,0,13,0,0
O60293,0,0,23,0,0
O60294,0,0,0,0,0
O60296,0,0,1,0,0
O60303,0,0,3,0,0
O60304,0,0,0,0,0
O60306,0,0,1,0,0
O60307,0,0,13,0,0
